Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Podarcis erhardii,N,Reptilia,Squamata,637.9,Lacertidae,Podarcis_erhardii,Aegean wall lizard,carnivore,5.78,reported mean,plastic marker in mealworm,protein,47,1,Gut Passage Time: time from feeding to first appearance of marker in feces,,,,2600,,,,,,,,Sagonas et al 2017,"mean was taken of values across three different stages of tail regeneration (day 0, 15, 90): 41,49,40 hrs",,Yes
Pogona vitticeps,N,Reptilia,Squamata,637.9,Agamidae,Pogona_vitticeps,Bearded dragon,omnivore,243.4,average of reported weights,"35% weight-by-volume suspension; leafy greens, crickets, mealworms",protein,7,,visible marker in colon,720,,1860,,,4320,,,,,,Grosset et al 2014,"""median time for contrast to reach the colon""",,Yes
Pongo pygmaeus,N,Mammalia,Primates,174.3696,Hominidae,Pongo_pygmaeus,Bornean orangutan,frugivore/nectarivore,70700,,jam sandwiches with Co-EDTA,fruit/nectar/pollen,3,1,transit time,,,,1452,,,48,,3912,768,,Caton et al. 1999,transit time: first appearance of the markers in feces,no,No
Pongo pygmaeus,N,Mammalia,Primates,174.3696,Hominidae,Pongo_pygmaeus,Bornean orangutan,frugivore/nectarivore,70700,,jam sandwiches with cell wall constituents,fruit/nectar/pollen,3,1,transit time,,,,1452,,,48,,4422,930,,Caton et al. 1999,transit time: first appearance of the markers in feces,no,No
Pongo pygmaeus,N,Mammalia,Primates,174.3696,Hominidae,Pongo_pygmaeus,Bornean orangutan,frugivore/nectarivore,72491.67,average of reported male and female mass from study,marked seed mimics in fruit,fruit/nectar/pollen,6,1,Transit time: first marker in feces,,,,4586,,9558,610,,,,,Tarszisz et al 2018,took mean of all trials in raw data,,Yes
Pongo pygmaeus,N,Mammalia,Primates,,Hominidae,Pongo_pygmaeus,Bornean Orangutan,herbivore,75000,Bornean orangutan - Wikipedia,seeds,fiber/foliage,1,1,passage time,,,,1800,,,,,,,,"Righini, N., Serio-Silva, J.C., Rico-Gray, V. and Martínez-Mota, R. (2004), Effect of different primate species on germination of Ficus (Urostigma) seeds. Zoo Biol., 23: 273-278. https://doi.org/10.1002/zoo.20012",,rate,N
Pongo pygmaeus,N,Mammalia,Primates,,Hominidae,Pongo_pygmaeus,Bornean orangutan,omnivore,53000,,mixed fruit/veggies/bread/etc + plastic particle marker,protein,2,1,TT,,,,2220,,,,,,,,Milton (1984),averaged across range,N,N
Pongo pygmaeus,N,Mammalia,Primates,,Hominidae,Pongo_pygmaeus,Bornean orangutan,frugivore/nectivore,67570,,"greens, leaves, dragon fruit seeds (low fiber diet)",fiber/foliage,4,5,transit time; MRT,,,,2718,,,,96,124.7,,540,Chang et al. (2016),,N,N
Pongo pygmaeus,N,Mammalia,Primates,,Hominidae,Pongo_pygmaeus,Bornean orangutan,frugivore/nectivore,67570,,"greens, leaves, dragon fruit seeds (high fiber diet)",fiber/foliage,4,5,transit time; MRT,,,,3600,,,,624,146.5,,684,Chang et al. (2016),,N,N
Potorous tridactylus,N,Mammalia,Diprotodontia,,Potoroidae,Potorous_longipes,Long-nosed Potoroo,herbivore,1250,Potorous tridactylus (long-nosed potoroo) | INFORMATION | Animal Diversity Web,fibrous diet,fiber/foliage,6,2,mean retention time,,,,,,,,,2100,,,"Wallis, I.R. (1994). The Rate of Passage of Digesta through the Gastrointestinal Tracts of Potoroine Marsupials: More Evidence about the Role of the Potoroine Foregut. Physiological Zoology, 67, 771 - 795.",MRT values taken from Ru marker column,"gastrointestinal, time",N
Potorous tridactylus,N,Mammalia,Diprotodontia,,Potoroidae,Potorous_longipes,Long-nosed Potoroo,herbivore,1250,Potorous tridactylus (long-nosed potoroo) | INFORMATION | Animal Diversity Web,fibrous diet,fiber/foliage,8,2,mean retention time,,,,,,,,,1380,,,"Wallis, I.R. (1994). The Rate of Passage of Digesta through the Gastrointestinal Tracts of Potoroine Marsupials: More Evidence about the Role of the Potoroine Foregut. Physiological Zoology, 67, 771 - 795.",MRT values taken from Ru marker column,"gastrointestinal, time",N
Potos flavus,N,Mammalia,Carnivora,,Procyonidae,Potos_flavus,kinkajou,frugivore,4250,,dog feed + fruit + plastic particle marker,protein,2,15,MRT,,,,,,,,,150,96,,Lambert et al. (2014),,Y,N
Prionailurus bengalensis,N,Mammalia,Carnivora,,Felidae,Prionailurus_bengalensis,Amur leopard cat,carnivore,5300,,"beef, beet pulp + acetate bead marker",protein,1,1,transit time,,,,1440,,,,,,,,Edwards et al. (2001),,Y,N
Prionailurus bengalensis,N,Mammalia,Carnivora,,Felidae,Prionailurus_bengalensis,Amur leopard cat,carnivore,5300,,"beef, cellulose/fructooligosaccharide blend + acetate bead marker",protein,1,1,transit time,,,,2880,,,,,,,,Edwards et al. (2001),,Y,N
Prionailurus bengalensis,N,Mammalia,Carnivora,,Felidae,Prionailurus_bengalensis,Amur leopard cat,carnivore,5300,,"beef, wood cellulose + acetate bead marker",protein,1,1,transit time,,,,1980,,,,,,,,Edwards et al. (2001),,Y,N
Promerops gurneyi,Y,Aves,Passeriformes,,Promeropidae,Promerops,gurney's sugarbird,frugivore/nectivore,34.75,Gurney's sugarbird - Wikipedia,.25 mol sucrose solution,fruit/nectar/pollen,2,1,transit time,,,,,,,,,6.1,1.21,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-100",,transit,n
Propithecus tattersalli,N,Mammalia,Primates,,Indriidae,Propithecus_tattersalli,Golden crowned sifaka,folivore,3093,,"soybean meal and hulls, ground yellow corn, corn gluten meal, sumac leaves + Cr particle marker",fiber/foliage,3,1,transit time; MRT,,,,1200,,,,288,2178,,282,Campbell et al. (1999),,Y,N
Propithecus tattersalli,N,Mammalia,Primates,,Indriidae,Propithecus_tattersalli,Golden crowned sifaka,folivore,3093,,"soybean meal and hulls, ground yellow corn, corn gluten meal, sumac leaves + Co-EDTA liquid marker",fiber/foliage,3,1,transit time; MRT,,,,1200,,,,288,1926,,252,Campbell et al. (1999),,Y,N
Propithecus verreauxi coquereli,N,Mammalia,Primates,174.3696,Indriidae,Propithecus_verreauxi,Coquerel's sifaka,folivore,3396,mean of initial and final mass reported in paper,insoluble to soluble fiber diet,fiber/foliage,6,2,"TT: transit time, time from feeding to first appearance of marker in feces",,,,1471.8,,,105,,2077.8,180,,Campbell et al 2004,mean of Co and Cr values per species,,Yes
Propithecus verreauxi coquereli,N,Mammalia,Primates,,Indriidae,Propithecus_verreauxi,Coquerel's sifaka,folivore,3688,,"soybean meal and hulls, ground yellow corn, corn gluten meal, sumac leaves + Cr particle marker",fiber/foliage,6,1,transit time; MRT,,,,1020,,,,240,1878,,228,Campbell et al. (1999),,Y,N
Propithecus verreauxi coquereli,N,Mammalia,Primates,,Indriidae,Propithecus_verreauxi,Coquerel's sifaka,folivore,3688,,"soybean meal and hulls, ground yellow corn, corn gluten meal, sumac leaves + Co-EDTA liquid marker",fiber/foliage,6,1,transit time; MRT,,,,1020,,,,240,1884,,204,Campbell et al. (1999),,Y,N
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,320,Pseudocheiridae,Pseudocheirus_peregrinus,common ringtail possum,folivore,700,https://animaldiversity.org/accounts/Pseudocheirus_peregrinus/,eucalyptus foliage with particulate marker 103Ru-phenanthroline,fiber/foliage,,,mean retention time,,,,,,,,,2100,120,,Chilcott and Hume 1985,only reports mrt,no,No
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,320,Pseudocheiridae,Pseudocheirus_peregrinus,common ringtail possum,folivore,700,https://animaldiversity.org/accounts/Pseudocheirus_peregrinus/,eucalyptus foliage with Cr-EDTA,fiber/foliage,,,mean retention time,,,,,,,,,3780,120,,Chilcott and Hume 1985,only reports mrt,no,No
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,320,Pseudocheiridae,Pseudocheirus_peregrinus,common ringtail possum,folivore,661,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + Co-EDTA",fiber/foliage,4,,transit time,,,,390,36,,,,12582,3738,,Sakaguchi et al 1990,,no,No
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,320,Pseudocheiridae,Pseudocheirus_peregrinus,common ringtail possum,folivore,661,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + cell wall constituents",fiber/foliage,4,,transit time,,,,375,42,,,,10818,5745,,Sakaguchi et al 1990,,no,No
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,,Pseudocheiridae,Pseudocheirus_peregrinus,ringtail possum,herbivore,830,Common ringtail possum - Wikipedia,"diet 2 w/ fluid marker (alfalfa, oats, agar, corn starch, sugar, dry matter)",fiber/foliage,4,1,transit time/retention time,,,,6.5,,,0.6,,209.7,62.3,,"Sakaguchi E, Hume ID (1990) Digesta retention and fibre digestion in brushtail possums, ringtail possums and rabbits. Comparative Biochemistry and Physiology A 96:351-360",unclear whether times were given in minutes or hours,time,no
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,,Pseudocheiridae,Pseudocheirus_peregrinus,ringtail possum,herbivore,831,Common ringtail possum - Wikipedia,"diet 2 w/ fluid marker (alfalfa, oats, agar, corn starch, sugar, dry matter)",fiber/foliage,4,1,transit time/retention time,,,,6.5,,,0.6,,248.3,123,,"Sakaguchi E, Hume ID (1990) Digesta retention and fibre digestion in brushtail possums, ringtail possums and rabbits. Comparative Biochemistry and Physiology A 96:351-361",unclear whether times were given in minutes or hours,time,no
Pseudocheirus peregrinus,N,Mammalia,Diprotodontia,,Pseudocheiridae,Pseudocheirus_peregrinus,ringtail possum,herbivore,832,Common ringtail possum - Wikipedia,"diet 2 w/ fluid marker (alfalfa, oats, agar, corn starch, sugar, dry matter)",fiber/foliage,4,1,transit time/retention time,,,,6,,,0.8,,112.3,68.5,,"Sakaguchi E, Hume ID (1990) Digesta retention and fibre digestion in brushtail possums, ringtail possums and rabbits. Comparative Biochemistry and Physiology A 96:351-362",unclear whether times were given in minutes or hours,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,L. glutinosa fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,32,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-268",MRT estimated from figure 23,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,S. hainanense fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,24,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-269",MRT estimated from figure 24,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,P. suberosa fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,20,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-270",MRT estimated from figure 25,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,M. paniculata fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,37,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-271",MRT estimated from figure 26,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,O. bodinieri (big) fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,24,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-272",MRT estimated from figure 27,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,O. bodinieri (small) fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,31,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-273",MRT estimated from figure 28,time,no
Psilopogon asiaticus,Y,Aves,Piciformes,,Megalaimidae,Megalaima_asiatica,blue-throated barbet,omnivore,95,Blue-throated barbet - Wikipedia,A. squamulosa fruit,fruit/nectar/pollen,5,1,retention time,,,,,,,,,20,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-274",MRT estimated from figure 29,time,no
Psittacus erithacus,Y,Aves,Psittaciformes,637.9,Psittacidae,Psittacus_erithacus,African grey parrot,omnivore,446,reported mean,30% weight-by-volume suspension,unknown,8,,first excretia of marker,240,,,262.5,,360,44.64,,,,,Kubiak and Forbes 2012,,,Yes
Ptenochirus jagorii,Y,Mammalia,Chiroptera,188,Pteropodidae,Ptenochirus_jagorii,Greater musky fruit bat,frugivore/nectarivore,79.5,https://www.projectnoah.org/spottings/9449626,Ficus chrysolepis fruits with seeds,fruit/nectar/pollen,5,1,range of minimum transit time reported (site of seeds in feces),20-45,,57.5,,,,,,,,,Utzurrum and Heidman 1991,Range of minimum transit times reported only. Upper end of minimum time + half the range taken as the median,,Yes
Pteronotus rubiginosus,Y,Mammalia,Chiroptera,188,Mormoopidae,Pteronotus_rubiginosus,Parnell's mustached bat,insectivore,24.1,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon; formerly called Chilonycteris rubiginosa,,Yes
Pteronura brasiliensis,N,Mammalia,Carnivora,,Mustelidae,Pteronura_brasiliensis,giant river otter,carnivore,23000,,fish with colored plastic beads,meat,3,1,transit time; MRT,,,,187.8,,,31.2,,,,,Carter et al. (1999),,Y,N
Pteropus alecto,Y,Mammalia,Chiroptera,188,Pteropodidae,Pteropus_alecto,Black flying fox,frugivore/nectarivore,540,reported mass,"fruit mixture (pawpaws, apples, grapes, bananas, pears, mangoes) mixed with 25% barium sulfate",fruit/nectar/pollen,1,14,Intestinal transport time: feeding to first feces,18,,30,,,32,,,,,,Tedman and Hall 1985,study design is vague; averaged across food type trials,,Yes
Pteropus poliocephalus,Y,Mammalia,Chiroptera,188,Pteropodidae,Pteropus_poliocephalus,Grey-headed flying fox,frugivore/nectarivore,692,reported mass,"fruit mixture (pawpaws, apples, grapes, bananas, pears, mangoes) mixed with 25% barium sulfate",fruit/nectar/pollen,1,14,Intestinal transport time: feeding to first feces,12,,28.5,,,44,,,,,,Tedman and Hall 1985,study design is vague; averaged across food type trials,,Yes
Pteropus rufus,Y,Mammalia,Chiroptera,188,Pteropodidae,Pteropus_rufus,Madagascan Flying Fox,frugivore/nectarivore,625,https://animaldiversity.org/accounts/Pteropus_rufus/,banana with Ficus spp. seeds,fruit/nectar/pollen,4,1,Mean Retention Time,12,,,30,,,1470,,30,1470,,Oleksy et al. 2017,reported mean,,Yes
Ptiliogonys cinereus,Y,Aves,Passeriformes,,Ptiliogonatidae,Ptilogonys_caudatus,grey silky flycatchers,omnivore,33.5,,Prunus serotina seeds,fruit/nectar/pollen,4,1,gut retention time,,,,,,,,,18.4,0.14,,"Lara C, Pérez G, Ornelas JF (2009) Provenance, guts, and fate: field and experimental evidence in a host-mistletoe-bird system. Ecoscience 16:399-407",,"gut,",n
Ptiliogonys cinereus,Y,Aves,Passeriformes,,Ptiliogonatidae,Ptilogonys_caudatus,grey silky flycatchers,omnivore,33.5,,Crataegus pubescens fruit,fruit/nectar/pollen,4,1,gut retention time,,,,,,,,,21.9,0.15,,"Lara C, Pérez G, Ornelas JF (2009) Provenance, guts, and fate: field and experimental evidence in a host-mistletoe-bird system. Ecoscience 16:399-408",,,n
Ptiliogonys cinereus,Y,Aves,Passeriformes,,Ptiliogonatidae,Ptilogonys_caudatus,grey silky flycatchers,omnivore,33.5,,Salix bolandiana fruit,fruit/nectar/pollen,4,1,gut retention time,,,,,,,,,16.5,0.17,,"Lara C, Pérez G, Ornelas JF (2009) Provenance, guts, and fate: field and experimental evidence in a host-mistletoe-bird system. Ecoscience 16:399-409",,,n
Ptiliogonys cinereus,Y,Aves,Passeriformes,,Ptiliogonatidae,Ptilogonys_caudatus,silky flycatcher,omnivore,33.5,Gray Silky-flycatcher,fruit,fruit/nectar/pollen,7,18,retention time,,,,,,,,,26.7,2.2,,"Ramírez MM, Ornelas JF (2009) Germination of Psittacanthus schiedeanus (mistletoe) seeds after passage through the gut of Cedar Waxwings and Grey Silky-flycatchers. The Journal of the Torrey Botanical Society 136:322-334",,"passage, gut",no
Ptiliogonys cinereus,Y,Aves,Passeriformes,,Ptiliogonatidae,Ptilogonys_caudatus,silky flycatcher,omnivore,34.5,Gray Silky-flycatcher,fruit,fruit/nectar/pollen,7,18,retention time,,,,,,,,,28.7,3.9,,"Ramírez MM, Ornelas JF (2009) Germination of Psittacanthus schiedeanus (mistletoe) seeds after passage through the gut of Cedar Waxwings and Grey Silky-flycatchers. The Journal of the Torrey Botanical Society 136:322-335",,"passage, gut",no
Ptiliogonys cinereus,Y,Aves,Passeriformes,,Ptiliogonatidae,Ptilogonys_caudatus,silky flycatcher,omnivore,35.5,Gray Silky-flycatcher,fruit,fruit/nectar/pollen,7,18,retention time,,,,,,,,,11.8,0.5,,"Ramírez MM, Ornelas JF (2009) Germination of Psittacanthus schiedeanus (mistletoe) seeds after passage through the gut of Cedar Waxwings and Grey Silky-flycatchers. The Journal of the Torrey Botanical Society 136:322-336",,"passage, gut",no
Pudu puda,N,Mammalia,Artiodactyla,,Cervidae,Pudu_puda,Southern pudu,folivore,9000,,mashed bananas + Cr particle marker,fruit/nectar/pollen,6,2,mean retention time,,,,,,,,,1794,48,,Conklin-Brittain and Dierenfeld (1996),,N,N
Pycnonotus goiavier,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_goiavier,Yellow-vented Bulbul,omnivore,40.5,,Ochradaneus fruit,fruit/nectar/pollen,7,3,retention time,,,,,,91.5,,,34.7,1.5,,"Spiegel O, Nathan R (2007) Incorporating dispersal distance into the disperser effectiveness framework: frugivorous birds provide complementary dispersal to plants in a patchy environment. Ecology letters 10:718-729",,"gut, time",no
Pycnonotus xanthopygos,Y,Aves,Passeriformes,,Pycnonotidae,Pycnonotus_xanthopygos,White-Spectacled Bulbul,omnivore,37,White-spectacled Bulbul,P. acacia fruit,fruit/nectar/pollen,10,1,transit time,,,,19.3,,,4.1,,,,,"Green AK, Ward D, Griffiths ME (2009) Directed dispersal of mistletoe (Plicosepalus acaciae) by Yellow-vented Bulbuls (Pycnonotus xanthopygos). Journal of Ornithology 150:167-173",,time,n
Pycnonotus xanthopygos,Y,Aves,Passeriformes,,Pycnonotidae,Pycnonotus_xanthopygos,White-Spectacled Bulbul,omnivore,37,White-spectacled Bulbul,P. acacia fruit w/ banana mash,fruit/nectar/pollen,9,1,transit time,,,,19.3,,,,,,,,"Green AK, Ward D, Griffiths ME (2009) Directed dispersal of mistletoe (Plicosepalus acaciae) by Yellow-vented Bulbuls (Pycnonotus xanthopygos). Journal of Ornithology 150:167-174",,time,n
Pycnonotus xanthopygos,Y,Aves,Passeriformes,,Pycnonotidae,Pycnonotus_xanthopygos,White-Spectacled Bulbul,omnivore,37,White-spectacled Bulbul,P. acacia fruit w/ mealworms,protein,4,1,transit time,,,,19.3,,,,,,,,"Green AK, Ward D, Griffiths ME (2009) Directed dispersal of mistletoe (Plicosepalus acaciae) by Yellow-vented Bulbuls (Pycnonotus xanthopygos). Journal of Ornithology 150:167-175",,time,n
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,L. glutinosa fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,29,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-254",MRT estimated from figure 9,time,no
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,S. hainanense fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,21,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-255",MRT estimated from figure 10,time,no
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,P. suberosa fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,20,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-256",MRT estimated from figure 11,time,no
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,M. paniculata fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,31,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-257",MRT estimated from figure 12,time,no
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,O. bodinieri (big) fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,18,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-258",MRT estimated from figure 13,time,no
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,O. bodinieri (small) fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,22,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-259",MRT estimated from figure 14,time,no
Pyconotus aurigaster,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_aurigaster,sooty-headed bulbul,omnivore,45,Sooty-headed Bulbul - Pycnonotus aurigaster - Birds of the World,A. squamulosa fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,21,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-260",MRT estimated from figure 15,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,L. glutinosa fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,28,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-247",MRT estimated from figure 2,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,S. hainanense fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,21,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-248",MRT estimated from figure 3,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,P. suberosa fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,25,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-249",MRT estimated from figure 4,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,M. paniculata fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,42,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-250",MRT estimated from figure 5,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,O. bodinieri (big) fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,17,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-251",MRT estimated from figure 6,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,O. bodinieri (small) fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,19,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-252",MRT estimated from figure 7,time,no
Pyconotus joscosus,Y,Aves,Passeriformes,,Pyconitidae,Pycnonotus_jocosus,Red-whiskered bulbul,omnivore,32.5,Red whiskered Bulbul - Birding Depot,A. squamulosa fruit,fruit/nectar/pollen,8,1,retention time,,,,,,,,,15,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-253",MRT estimated from figure 8,time,no
Pygathrix nemaeus,N,Mammalia,Primates,,Cercopithecidae,Pygathrix_nemaeus,red-shanked douc,folivore,8100,,leaves/veggies + Co liquid marker,fiber/foliage,2,1,MRT,,,,,,,,,2970,,,Matsuda et al. (2019),averaged by sp.,Y,N
Pygathrix nemaeus,N,Mammalia,Primates,,Cercopithecidae,Pygathrix_nemaeus,red-shanked douc,folivore,8100,,leaves/veggies + 2mm Cr particle marker,fiber/foliage,2,1,MRT,,,,,,,,,3180,,,Matsuda et al. (2019),averaged by sp.,Y,N
Pygathrix nemaeus,N,Mammalia,Primates,,Cercopithecidae,Pygathrix_nemaeus,red-shanked douc,folivore,8100,,leaves/veggies + 5mm La particle marker,fiber/foliage,2,1,MRT,,,,,,,,,2970,,,Matsuda et al. (2019),averaged by sp.,Y,N
