"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"302","Y","Mammalia","Chiroptera","Pteropodidae","Syconycteris australis","Common blossum bat",39.4,"fruit/nectar/pollen",6,639,106.5,6.56666666666667,"Chiroptera"
"303","Y","Aves","Passeriformes","Sylviidae","Sylvia atricapilla","blackcap",15.1,"protein",23,1828.5,79.5,0.656521739130435,"Flying Birds"
"304","N","Mammalia","Artiodactyla","Bovidae","Syncerus caffer","forest buffalo",1135000,"fiber/foliage",4,8640,2160,283750,"Artiodactyla"
"305","N","Mammalia","Rodentia","Sciuridae","Tamias amoenus","yellow-pine chipmunk",123.8,"protein",12,9648,804,10.3166666666667,"Rodentia"
"306","N","Mammalia","Perissodactyla","Tapiridae","Tapirus indicus","Malaysian tapir",2450000,"fruit/nectar/pollen",49,352926,7202.57142857143,50000,"Perissodactyla"
"307","N","Mammalia","Perissodactyla","Tapiridae","Tapirus indicus","Malaysian tapir",558000,"fiber/foliage",18,51840,2880,31000,"Perissodactyla"
"308","N","Mammalia","Perissodactyla","Tapiridae","Tapirus terrestris","lowland tapir",386000,"fiber/foliage",30,87300,2910,12866.6666666667,"Perissodactyla"
"309","Y","Aves","Musophagiformes","Musophagidae","Tauraco corythaix","Knysa turaco",321,"fiber/foliage",4,441.6,110.4,80.25,"Flying Birds"
"310","Y","Aves","Passeriformes","Mimidae","Taxostoma curviroste","Curve-billed Thrasher",154,"fiber/foliage",2,422,211,77,"Flying Birds"
"311","N","Mammalia","Primates","Cercopithecidae","Trachypithecus auratus","east Javan langur",21600,"fiber/foliage",12,32160,2680,1800,"Primates"
"312","N","Mammalia","Primates","Cercopithecidae","Trachypithecus cristatus","silvered leaf monkey",10800,"fruit/nectar/pollen",10,35700,3570,1080,"Primates"
"313","N","Mammalia","Primates","Cercopithecidae","Trachypithecus francoisi","Francois's langur",11920,"fiber/foliage",8,18528,2316,1490,"Primates"
"314","N","Mammalia","Primates","Cercopithecidae","Trachypithecus obscurus","dusky leaf monkey",12000,"fruit/nectar/pollen",4,14100,3525,3000,"Primates"
"315","N","Mammalia","Primates","Cercopithecidae","Trachypthecus auratus auratus","Janvan langur",21000,"protein",6,16200,2700,3500,"Primates"
"316","N","Mammalia","Artiodactyla","Bovidae","Tragelaphus angasii","nyala",128000,"fiber/foliage",12,21636,1803,10666.6666666667,"Artiodactyla"
"317","N","Mammalia","Artiodactyla","Bovidae","Tragelaphus eurycerus","bongo",366000,"fiber/foliage",6,12690,2115,61000,"Artiodactyla"
"318","N","Mammalia","Artiodactyla","Bovidae","Tragelaphus spekii","sitatunga",1e+05,"fiber/foliage",8,17808,2226,12500,"Artiodactyla"
